@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Partial Based Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Partial Based Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Partial Based Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Relative Difference Function Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average5" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average6" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average7" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average8" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average9" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average9" NUMERIC
@DATA
3.445E1,2.173E-1,5.026E-5,1.897E2,4.309E-4,1.587E-2,1.196E-1,5.108E1,2.409E1,3.609E0,1.1E3,3.97E1,4.156E0,2.317E0,1.971E0,3.059E0,3.683E0,2.921E0,1.585E0,1.536E0,2.327E0,2.637E0,2.064E0,1.311E0,2.314E-1,3.345E-1,9.365E-2,4.053E-1,2.67E-1,3.251E-1,1.509E-1,1.385E-1,1.286E-1,0E0,1.862E-2,1.66E1,1.141E3,1.575E5,2.547E7,NaN,NaN,1.885E0,1.507E-1,8.649E2,1.497E4,5.731E10,7.771E11,9.739E12,5.697E18,6.99E12,8.766E13,9.506E21,9.184E1,8.659E2,8.494E0,5.766E10,5.28E8,4.842E6,5.759E18,4.767E9,4.373E7,4.14E12,4.64E1,2.738E-1,2.058E-5,1.571E3,3.888E-4,1.497E-2,5.55E-1,9.501E1,1.835E2,1.031E1,2.046E3,-1.852E2,3.117E0,3.575E0,2.213E0,-2.263E-1,3.912E0,-2.995E0,3.901E-1,5.931E-1,-2.73E0,1.083E0,-2.685E0,7.255E-1,-7.328E-1,4.055E-1,-8.563E-2,4.217E-1,-1.852E-1,-2.367E-1,-1.104E-1,1.252E-1,-1.054E-1,0E0,2.242E-2,7E1,3.272E3,2.18E5,4.212E7,NaN,NaN,-7.18E0,2.268E-1,3.313E7,3.253E8,-1.098E15,-1.078E16,-1.058E17,7.275E22,9.727E16,9.551E17,6.887E25,-1.761E3,3.33E7,2.85E5,-1.109E15,-9.489E12,-8.123E10,7.382E22,8.592E13,7.355E11,4.63E16
1.251E1,1.159E-1,1.483E-3,1.444E2,1.673E-3,6.584E-2,6.194E-2,2.837E1,1.364E1,3.98E2,6.109E2,2.128E1,4.192E0,6.379E0,3.059E0,2.63E0,2.212E0,1.925E0,1.823E0,1.708E0,1.557E0,1.508E0,1.455E0,1.37E0,9.361E-2,3.273E-1,1.919E-1,1.557E-1,1.28E-1,1.077E-1,1.045E-1,9.787E-2,8.996E-2,0E0,2.051E-1,1.575E1,1.286E3,7.966E4,1.508E7,NaN,NaN,1.314E0,1.955E0,8.285E3,9.357E4,5.493E11,5.797E12,6.092E13,5.463E19,5.222E13,5.488E14,5.949E22,1.33E2,8.287E3,1.93E2,5.521E11,7.809E9,1.101E8,5.517E19,7.051E10,9.945E8,9.421E13,2.182E1,1.381E-1,1.07E-3,1.567E3,2.418E-3,9.948E-2,5.526E-1,6.022E1,2.106E2,3.62E2,1.297E3,-1.1E2,2.357E0,-3.6E0,-1.848E0,-7.527E-1,2.931E-1,3.859E-1,6.882E-2,-7.592E-1,-5.417E-1,-4.424E-1,-7.678E-3,8.518E-1,-9.136E-1,3.905E-1,-2.133E-1,2.105E-1,-5.406E-2,9.997E-2,3.025E-3,5.361E-2,-2.981E-2,0E0,3.044E-1,5.247E1,3.07E3,2.238E5,4.029E7,NaN,NaN,-4.882E0,3.048E0,3.315E7,3.255E8,-1.099E15,-1.079E16,-1.06E17,7.285E22,9.738E16,9.563E17,6.9E25,-1.137E3,3.331E7,2.851E5,-1.11E15,-9.496E12,-8.126E10,7.393E22,8.598E13,7.358E11,4.633E16
1.976E1,1.321E-1,1.698E-3,2.024E2,2.56E-3,1.024E-1,1.153E-1,4.101E1,5.478E1,6.212E2,8.83E2,4.249E1,8.123E0,3.967E0,3.107E0,3.029E0,2.495E0,2.322E0,2.287E0,2.462E0,1.981E0,2.267E0,2.31E0,2.276E0,1.649E-1,2.461E-1,2.865E-1,1.714E-1,1.649E-1,1.338E-1,1.185E-1,1.239E-1,1.044E-1,0E0,2.922E-1,2.114E1,1.202E3,9.381E4,1.68E7,NaN,NaN,2.194E0,2.824E0,1.286E4,1.154E5,8.532E11,8.018E12,7.523E13,8.495E19,7.229E13,6.782E14,7.356E22,3.652E2,1.283E4,4.727E2,8.557E11,1.855E10,2.71E8,8.56E19,1.677E11,2.451E9,2.33E14,2.093E1,1.438E-1,9.779E-4,1.757E3,2.715E-3,1.098E-1,5.889E-1,5.344E1,1.847E2,5.091E2,1.151E3,-1.257E2,6.817E0,-7.6E-1,6.564E-1,-2.044E0,-5.373E-1,-2.951E-1,-7.56E-2,-6.354E-1,-6.509E-1,-5.702E-1,1.268E-1,2.178E-1,-9.153E-1,6.057E-1,-2.279E-1,3.964E-2,-6.981E-2,7.76E-2,-3.394E-2,6.589E-2,-1.077E-2,0E0,2.947E-1,4.201E1,2.09E3,1.586E5,2.923E7,NaN,NaN,-5.714E0,2.949E0,3.319E7,3.259E8,-1.101E15,-1.082E16,-1.062E17,7.309E22,9.759E16,9.585E17,6.924E25,-1.231E3,3.335E7,2.868E5,-1.112E15,-9.564E12,-8.225E10,7.417E22,8.659E13,7.447E11,4.717E16
1.328E1,9.91E-2,1.803E-3,4.622E2,1.708E-3,6.237E-2,1.263E-1,3.091E1,4.779E1,6.311E1,6.655E2,2.476E2,1.171E1,6.037E0,5.532E0,4.373E0,2.942E0,2.555E0,2.884E0,2.306E0,2.03E0,2.025E0,1.846E0,1.696E0,2.608E-1,3.272E-1,2.835E-1,1.891E-1,1.554E-1,1.168E-1,1.166E-1,9.874E-2,9.922E-2,0E0,1.115E-1,2.126E1,1.31E3,1.175E5,2.241E7,NaN,NaN,2.729E1,7.52E-1,8.071E6,7.923E7,2.682E14,2.633E15,2.585E16,1.783E22,2.376E16,2.332E17,1.686E25,2.5E3,1.467E4,7.219E2,9.801E11,1.992E10,4.124E8,9.819E19,1.792E11,3.725E9,3.534E14,6.615E0,4.562E-2,6.768E-4,1.458E3,2.004E-3,7.576E-2,4.877E-1,1.773E1,1.697E2,1.701E2,3.818E2,-2.228E2,1.594E1,6.543E-1,6.694E0,-3.03E0,1.997E-1,7.238E-3,-1.819E-1,1.67E-1,-5.732E-1,2.76E-2,1.097E-1,2.656E-1,-9.071E-1,4.449E-1,-2.643E-2,-6.692E-2,-4.662E-2,5.359E-2,3.207E-2,4.817E-2,2.09E-2,0E0,1.279E-1,2.001E1,1.119E3,1.014E5,2.011E7,NaN,NaN,-1.179E1,1.28E0,3.114E7,3.057E8,-1.035E15,-1.016E16,-9.973E16,6.878E22,9.167E16,8.998E17,6.507E25,-2.018E3,3.34E7,2.856E5,-1.115E15,-9.539E12,-8.159E10,7.449E22,8.637E13,7.388E11,4.661E16
2.117E1,1.185E-1,3.529E-4,1.988E2,7.973E-4,3.211E-2,9.706E-2,4.146E1,4.227E1,6.35E1,8.927E2,4.189E1,8.881E0,7.142E0,3.591E0,2.603E0,2.537E0,2.415E0,2.076E0,1.962E0,1.604E0,1.706E0,1.561E0,1.673E0,1.642E-1,2.034E-1,2.026E-1,1.593E-1,1.443E-1,1.177E-1,1.174E-1,1.063E-1,9.925E-2,0E0,1.004E-1,1.931E1,9.135E2,6.171E4,1.111E7,NaN,NaN,2.406E0,9.556E-1,2.49E4,2.771E5,1.658E12,1.737E13,1.811E14,1.657E20,1.569E14,1.636E15,1.776E23,3.32E2,2.482E4,1.85E3,1.661E12,6.901E10,1.064E9,1.668E20,6.215E11,9.602E9,9.173E14,3.241E1,1.888E-1,2.094E-4,1.58E3,9.451E-4,3.942E-2,5.695E-1,7.22E1,1.944E2,5.434E1,1.555E3,-1.439E2,-4.919E-1,-4.701E0,1.347E0,-1.494E0,-1.113E0,-2.279E-1,-4.762E-1,-6.242E-1,-1.366E0,-7.544E-1,-4.26E-1,5.01E-1,-8.667E-1,7.076E-1,-2.477E-1,1.256E-1,-9.288E-2,7.939E-2,-1.766E-2,8.925E-2,9.155E-3,0E0,1.193E-1,5.099E1,1.976E3,1.393E5,2.431E7,NaN,NaN,-6.203E0,1.194E0,3.33E7,3.268E8,-1.109E15,-1.088E16,-1.068E17,7.385E22,9.82E16,9.638E17,6.981E25,-1.536E3,3.346E7,2.877E5,-1.12E15,-9.626E12,-8.275E10,7.495E22,8.715E13,7.492E11,4.761E16
1.696E1,1.328E-1,5.173E-3,1.65E2,3.026E-3,1.077E-1,7.617E-2,3.711E1,3.055E1,6.106E2,7.99E2,2.354E1,6.058E0,4.317E0,3.346E0,3.295E0,2.305E0,2.612E0,2.063E0,1.896E0,1.757E0,1.907E0,1.798E0,1.81E0,1.213E-1,3.24E-1,2.466E-1,1.906E-1,1.472E-1,1.302E-1,1.21E-1,1.138E-1,1.069E-1,0E0,1.645E-1,2.039E1,1.402E3,1.102E5,2.008E7,NaN,NaN,2.096E0,1.451E0,2.051E4,1.96E5,1.369E12,1.325E13,1.284E14,1.371E20,1.195E14,1.157E15,1.262E23,1.754E2,2.051E4,7.251E2,1.376E12,1.874E10,4.195E8,1.384E20,1.684E11,3.787E9,3.64E14,1.721E1,1.123E-1,1.545E-3,1.611E3,2.538E-3,9.819E-2,6.076E-1,4.601E1,1.979E2,3.833E2,9.908E2,-1.222E2,6.758E0,-6.748E-1,1.125E0,7.579E-2,5.181E-1,-6.743E-1,1.07E-1,-6.24E-1,-2.546E-1,1.356E-2,1.793E-1,7.761E-1,-9.299E-1,4.435E-1,-8.333E-2,6.074E-2,-5.659E-2,5.204E-2,-2.756E-2,4.581E-2,-3.325E-2,0E0,2.069E-1,4.332E1,2.716E3,2.365E5,4.362E7,NaN,NaN,-4.851E0,2.07E0,3.338E7,3.276E8,-1.114E15,-1.094E16,-1.073E17,7.437E22,9.867E16,9.685E17,7.033E25,-1.146E3,3.354E7,2.893E5,-1.125E15,-9.703E12,-8.367E10,7.548E22,8.784E13,7.576E11,4.841E16
1.751E1,1.145E-1,2.804E-4,4.347E2,6.352E-4,2.45E-2,1.466E-1,3.591E1,3.874E1,2.793E1,7.733E2,2.491E2,5.315E0,4.495E0,3.437E0,3.156E0,2.72E0,2.275E0,2.001E0,1.919E0,1.733E0,1.696E0,1.66E0,1.637E0,2.494E-1,2.506E-1,2.112E-1,1.577E-1,1.489E-1,1.214E-1,1.179E-1,1.233E-1,1.029E-1,0E0,6.701E-2,1.939E1,1.022E3,7.876E4,1.291E7,NaN,NaN,2.656E1,5.621E-1,8E6,7.853E7,2.674E14,2.625E15,2.577E16,1.788E22,2.369E16,2.326E17,1.692E25,2.448E3,9.99E3,4.826E2,6.712E11,1.903E10,2.788E8,6.765E19,1.716E11,2.519E9,2.417E14,2.726E1,1.725E-1,1.88E-4,1.523E3,9.759E-4,4.08E-2,5.388E-1,6.493E1,1.857E2,5.067E1,1.398E3,-1.895E2,6.096E-1,-4.099E0,6.551E-1,-1.706E0,-9.521E-1,-4.339E-1,1.471E-1,-1.295E0,-4.151E-1,-2.55E-1,3.505E-2,4.192E-1,-8.282E-1,5.708E-1,-1.96E-1,1.122E-1,-1.003E-1,8.914E-2,-5.409E-2,5.252E-2,-5.574E-2,0E0,1.249E-1,4.871E1,2.235E3,1.62E5,2.762E7,NaN,NaN,-1.247E1,1.251E0,3.139E7,3.082E8,-1.049E15,-1.03E16,-1.011E17,7.016E22,9.295E16,9.125E17,6.637E25,-1.957E3,3.36E7,2.887E5,-1.129E15,-9.7E12,-8.337E10,7.583E22,8.782E13,7.548E11,4.814E16
2.193E1,1.487E-1,3.284E-3,2.019E2,2.209E-3,8.416E-2,7.927E-2,4.535E1,4.283E1,4.364E2,9.766E2,3.412E1,8.646E0,5.189E0,4.718E0,4.81E0,3.652E0,2.899E0,2.95E0,2.869E0,2.599E0,2.795E0,2.615E0,2.425E0,1.65E-1,3.407E-1,3.025E-1,2.278E-1,1.861E-1,1.59E-1,1.471E-1,1.525E-1,1.412E-1,0E0,2.032E-1,2.422E1,1.525E3,1.177E5,2.029E7,NaN,NaN,2.383E0,1.797E0,1.496E4,1.237E5,1.001E12,9.026E12,8.127E13,1.005E20,8.139E13,7.329E14,8.011E22,2.901E2,1.491E4,2.302E2,1.003E12,6.866E9,1.333E8,1.012E20,6.177E10,1.204E9,1.157E14,1.838E1,1.103E-1,1.267E-3,1.686E3,2.864E-3,1.121E-1,5.903E-1,4.518E1,1.801E2,4.18E2,9.729E2,-1.294E2,1.148E1,5.405E-1,3.374E-1,-1.997E0,-1.23E0,-2.911E-1,-2.784E-1,-3.751E-1,-1.487E-1,-1.949E-1,2.08E-1,4.333E-1,-9.204E-1,5.007E-1,-2.944E-2,1.689E-1,-4.456E-2,3.788E-2,-1.961E-2,3.421E-2,-1.246E-2,0E0,2.351E-1,3.765E1,2.179E3,1.822E5,3.372E7,NaN,NaN,-4.781E0,2.351E0,3.347E7,3.286E8,-1.12E15,-1.1E16,-1.08E17,7.5E22,9.925E16,9.743E17,7.096E25,-1.208E3,3.364E7,2.893E5,-1.132E15,-9.733E12,-8.372E10,7.612E22,8.812E13,7.58E11,4.844E16
3.151E1,1.948E-1,2.182E-3,2.043E2,1.844E-3,7.148E-2,9.274E-2,6.181E1,4.146E1,1.516E2,1.331E3,3.426E1,8.813E0,6.845E0,5.086E0,3.677E0,4.006E0,3.325E0,2.621E0,2.657E0,2.268E0,2.237E0,2.184E0,1.928E0,2.6E-1,3.24E-1,2.849E-1,2.112E-1,2.065E-1,1.613E-1,1.533E-1,1.283E-1,1.383E-1,0E0,2.101E-1,2.847E1,1.343E3,1.179E5,1.794E7,NaN,NaN,2.16E0,1.703E0,1.575E4,2.004E5,1.056E12,1.19E13,1.32E14,1.062E20,1.074E14,1.191E15,1.303E23,2.521E2,1.571E4,3.955E2,1.059E12,1.769E10,2.294E8,1.07E20,1.6E11,2.075E9,1.996E14,3.018E1,1.913E-1,1.278E-3,1.611E3,2.306E-3,9.449E-2,5.404E-1,7.191E1,1.841E2,2.605E2,1.549E3,-1.25E2,2.76E0,1.419E0,-7.18E-2,-8.59E-1,4.493E-1,-1.063E0,-1.117E-1,-8.213E-1,-2.882E-1,-7.473E-1,3.295E-1,3.608E-1,-8.35E-1,4.561E-1,-2.55E-1,1.212E-1,-7.837E-2,1.195E-1,-5.988E-2,7.554E-2,-5.681E-2,0E0,2.594E-1,5.393E1,2.64E3,1.582E5,3.231E7,NaN,NaN,-4.789E0,2.596E0,3.353E7,3.291E8,-1.124E15,-1.103E16,-1.083E17,7.536E22,9.957E16,9.775E17,7.132E25,-1.233E3,3.369E7,2.9E5,-1.135E15,-9.77E12,-8.409E10,7.649E22,8.846E13,7.614E11,4.877E16
3.142E1,1.996E-1,6.637E-4,4.713E2,1.132E-3,4.349E-2,1.02E-1,6.24E1,6.067E1,2.325E1,1.344E3,2.497E2,8.33E0,5.81E0,4.959E0,4.605E0,3.204E0,2.879E0,2.653E0,2.037E0,1.992E0,1.82E0,1.758E0,1.747E0,3.357E-1,3.638E-1,2.544E-1,1.86E-1,1.883E-1,1.682E-1,1.507E-1,1.352E-1,1.329E-1,0E0,9.67E-2,3.278E1,1.719E3,1.26E5,2.061E7,NaN,NaN,2.722E1,7.254E-1,8.052E6,7.908E7,2.705E14,2.657E15,2.609E16,1.818E22,2.397E16,2.354E17,1.722E25,2.45E3,2.546E4,1.678E3,1.719E12,6.41E10,9.842E8,1.741E20,5.787E11,8.896E9,8.662E14,2.632E1,1.621E-1,2.413E-4,1.488E3,8.482E-4,3.377E-2,6.262E-1,6.21E1,1.408E2,3.347E1,1.337E3,-2.293E2,6.839E0,1.675E0,7.187E-1,-2.738E0,-6.586E-1,-2.605E0,1.113E0,-1.33E0,-1.412E0,-6.745E-1,-7.018E-1,3.728E-1,-7.938E-1,4.041E-1,-1.08E-1,3.79E-2,-5.465E-2,1.394E-1,1.033E-2,4.078E-2,-3.175E-2,0E0,7.726E-2,5.089E1,2.783E3,1.889E5,3.955E7,NaN,NaN,-1.331E1,7.729E-1,3.154E7,3.098E8,-1.06E15,-1.041E16,-1.022E17,7.119E22,9.39E16,9.222E17,6.744E25,-2.283E3,3.376E7,2.934E5,-1.14E15,-9.906E12,-8.608E10,7.697E22,8.968E13,7.794E11,5.052E16
