@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Partial Based Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Partial Based Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Partial Based Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Relative Difference Function Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average5" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average6" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average7" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average8" NUMERIC
@ATTRIBUTE "Area Method of Moments Overall Average9" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average9" NUMERIC
@DATA
2.884E1,2.044E-1,6.295E-4,1.934E2,4.905E-4,2.079E-2,6.569E-2,5.02E1,5.471E1,4.349E0,1.081E3,1.904E1,5.258E0,4.975E0,3.154E0,2.873E0,2.487E0,2.009E0,1.892E0,1.661E0,1.609E0,1.541E0,1.438E0,1.401E0,2.572E-1,3.517E-1,2.189E-1,1.667E-1,1.404E-1,1.215E-1,1.113E-1,1.011E-1,9.699E-2,0E0,7.65E-2,2.239E1,1.299E3,1.221E5,1.478E7,NaN,NaN,1.872E0,4.701E-1,6.469E4,1.068E6,1.32E13,1.91E14,2.709E15,4.038E21,1.719E15,2.439E16,1.031E25,4.701E-1,6.469E4,1.068E6,1.325E13,1.917E14,2.719E15,4.07E21,1.726E15,2.447E16,1.038E25,4.045E1,2.719E-1,1.145E-4,1.574E3,3.459E-4,1.575E-2,6.896E-1,1.01E2,1.524E2,6.947E0,2.175E3,-1.553E2,2.005E-1,-2.455E0,-1.4E0,-9.725E-1,-9.754E-1,-8.322E-1,-7.655E-1,-4.143E-1,3.936E-2,5.469E-2,2.772E-1,8.893E-1,-7.656E-1,2.093E-1,-2.643E-2,8.293E-2,-4.541E-2,8.218E-2,-2.617E-2,5.724E-2,-2.166E-2,0E0,5.575E-2,7.241E1,4.337E3,2.676E5,5.82E7,NaN,NaN,-6.194E0,5.576E-1,1.02E8,1.268E9,-1.04E16,-1.293E17,-1.607E18,2.122E24,1.164E18,1.447E19,4.076E27,5.576E-1,1.024E8,1.272E9,-1.049E16,-1.303E17,-1.619E18,2.148E24,1.173E18,1.457E19,4.119E27
2.333E1,1.725E-1,1.537E-3,1.844E2,9.447E-4,3.888E-2,7.313E-2,4.168E1,4.76E1,2.188E1,8.975E2,1.73E1,4.833E0,4.559E0,2.972E0,2.66E0,2.356E0,1.973E0,1.85E0,1.652E0,1.591E0,1.499E0,1.377E0,1.318E0,1.972E-1,3.458E-1,2.073E-1,1.573E-1,1.355E-1,1.18E-1,1.107E-1,1.022E-1,9.811E-2,0E0,1.386E-1,1.83E1,1.229E3,1.078E5,1.586E7,NaN,NaN,1.834E0,9.39E-1,5.326E4,8.183E5,1.089E13,1.513E14,2.08E15,3.338E21,1.362E15,1.872E16,7.932E24,9.39E-1,5.326E4,8.183E5,1.093E13,1.519E14,2.087E15,3.364E21,1.367E15,1.879E16,7.988E24,3.381E1,2.194E-1,4.339E-4,1.563E3,8.138E-4,3.633E-2,6.863E-1,8.776E1,1.738E2,3.716E1,1.89E3,-1.319E2,2.001E0,-7.48E-1,-9.704E-1,-6.396E-1,-1.069E0,-1.228E0,-9.442E-1,-4.74E-1,3.055E-3,3.281E-1,3.998E-1,8.117E-1,-8.201E-1,2.224E-1,-6.191E-2,7.896E-2,-4.047E-2,8.773E-2,-3.698E-2,6.46E-2,-2.156E-2,0E0,1.281E-1,6.732E1,4.2E3,2.871E5,5.811E7,NaN,NaN,-5.511E0,1.281E0,1.022E8,1.271E9,-1.045E16,-1.299E17,-1.616E18,2.135E24,1.17E18,1.455E19,4.107E27,1.281E0,1.026E8,1.275E9,-1.053E16,-1.309E17,-1.627E18,2.161E24,1.178E18,1.465E19,4.15E27
2.296E1,1.509E-1,4.328E-4,1.944E2,4.859E-4,1.939E-2,6.413E-2,4.26E1,4.18E1,4.658E0,9.173E2,1.802E1,4.727E0,4.566E0,3.192E0,2.954E0,2.388E0,1.974E0,1.929E0,1.682E0,1.657E0,1.532E0,1.447E0,1.4E0,2.038E-1,3.157E-1,2.061E-1,1.682E-1,1.388E-1,1.13E-1,1.021E-1,9.5E-2,9.414E-2,0E0,6.049E-2,1.914E1,1.13E3,9.817E4,1.343E7,NaN,NaN,2.044E0,3.825E-1,4.228E4,6.125E5,8.656E12,1.165E14,1.56E15,2.658E21,1.047E15,1.402E16,5.96E24,3.825E-1,4.228E4,6.125E5,8.69E12,1.17E14,1.565E15,2.679E21,1.051E15,1.407E16,6.002E24,3.642E1,2.249E-1,1.138E-4,1.571E3,4.465E-4,1.97E-2,6.5E-1,8.926E1,1.733E2,1.056E1,1.922E3,-1.473E2,3.623E-1,-4.522E0,-2.195E0,-1.698E0,-9.723E-1,-4.458E-1,-1.961E-1,-5.725E-1,-2.331E-2,-4.577E-2,1.821E-1,1.047E0,-8.17E-1,3.588E-1,3.394E-2,7.993E-2,-6.029E-2,8.835E-2,-2.798E-2,5.841E-2,-3.432E-2,0E0,6.538E-2,6.525E1,3.8E3,2.809E5,5.451E7,NaN,NaN,-6.085E0,6.539E-1,1.024E8,1.274E9,-1.048E16,-1.304E17,-1.622E18,2.145E24,1.174E18,1.46E19,4.131E27,6.539E-1,1.028E8,1.278E9,-1.056E16,-1.313E17,-1.633E18,2.171E24,1.183E18,1.47E19,4.174E27
1.785E1,1.204E-1,4.498E-6,3.233E2,6.913E-5,2.643E-3,1.181E-1,3.572E1,5.483E1,4.175E-2,7.692E2,1.583E2,6.765E0,5.76E0,4.783E0,4.338E0,3.492E0,3.067E0,2.752E0,2.166E0,1.999E0,1.951E0,1.572E0,1.489E0,1.952E-1,3.531E-1,2.923E-1,1.857E-1,1.589E-1,1.307E-1,1.178E-1,1.148E-1,1.124E-1,0E0,5.617E-3,2.12E1,1.555E3,1.107E5,2.088E7,NaN,NaN,1.796E1,3.726E-2,1.67E7,2.078E8,1.711E15,2.129E16,2.648E17,3.505E23,1.916E17,2.385E18,6.752E26,3.726E-2,1.676E7,2.085E8,1.724E15,2.144E16,2.667E17,3.547E23,1.931E17,2.401E18,6.822E26,2.425E1,1.408E-1,1.283E-6,1.503E3,4.783E-5,1.928E-3,6.601E-1,5.957E1,1.268E2,1.068E-1,1.283E3,-2.464E2,5.522E-1,-4.014E0,-6.841E0,-4.461E0,-1.013E0,-1.333E-1,1.185E0,-4.328E-2,-1.323E0,-1.077E0,1.127E0,1.038E0,-8.692E-1,5.128E-1,-1.208E-1,1.104E-1,2.883E-2,8.917E-2,-2.203E-2,8.344E-2,3.374E-2,0E0,4.46E-3,5.079E1,2.782E3,2.126E5,4.034E7,NaN,NaN,-1.152E1,4.468E-2,9.965E7,1.24E9,-1.021E16,-1.27E17,-1.581E18,2.092E24,1.144E18,1.423E19,4.03E27,4.468E-2,1E8,1.244E9,-1.029E16,-1.28E17,-1.592E18,2.117E24,1.152E18,1.433E19,4.071E27
4.038E1,2.982E-1,4.675E-4,2.351E2,4.923E-4,1.682E-2,8.665E-2,7.851E1,4.337E1,1.194E1,1.691E3,9.22E1,1.045E1,4.987E0,3.742E0,3.593E0,2.777E0,2.17E0,1.905E0,1.687E0,1.453E0,1.477E0,1.364E0,1.304E0,3.346E-1,3.884E-1,2.85E-1,2.348E-1,1.77E-1,1.534E-1,1.361E-1,1.254E-1,1.227E-1,0E0,2.809E-2,3.673E1,2.04E3,2.07E5,2.902E7,NaN,NaN,1.016E1,1.899E-1,9.3E6,1.157E8,9.535E14,1.187E16,1.477E17,1.955E23,1.068E17,1.329E18,3.768E26,1.899E-1,9.337E6,1.161E8,9.61E14,1.195E16,1.487E17,1.978E23,1.076E17,1.339E18,3.807E26,3.387E1,2.413E-1,6.846E-5,1.578E3,3.194E-4,1.266E-2,6.35E-1,8.381E1,1.821E2,5.949E0,1.805E3,-1.876E2,4.813E0,2.038E0,4.156E-1,1.698E0,-5.211E-1,1.436E-1,-5.626E-1,2.105E-1,-1.769E-1,-2.968E-1,3.235E-1,3.445E-1,-7.638E-1,-1.882E-2,1.851E-2,4.866E-2,-1.75E-2,9.781E-2,-1.857E-2,1.863E-2,-4.931E-2,0E0,2.802E-2,6.412E1,4.488E3,2.957E5,7.177E7,NaN,NaN,-7.356E0,2.803E-1,1.017E8,1.265E9,-1.042E16,-1.297E17,-1.614E18,2.137E24,1.168E18,1.453E19,4.119E27,2.803E-1,1.021E8,1.27E9,-1.051E16,-1.307E17,-1.625E18,2.163E24,1.177E18,1.463E19,4.162E27
3.025E1,2.092E-1,4.276E-5,1.581E2,3.231E-4,1.216E-2,9.878E-2,6.166E1,6.771E1,2.268E0,1.328E3,3.07E1,8.146E0,4.638E0,3.148E0,2.91E0,2.327E0,2.003E0,1.964E0,1.893E0,1.674E0,1.52E0,1.537E0,1.546E0,2.258E-1,3.426E-1,2.128E-1,1.786E-1,1.683E-1,1.4E-1,1.357E-1,1.15E-1,1.243E-1,0E0,2.107E-2,2.568E1,1.331E3,1.444E5,2.065E7,NaN,NaN,2.454E0,1.709E-1,3.667E4,5.221E5,7.529E12,1.004E14,1.334E15,2.318E21,9.034E14,1.2E16,5.113E24,1.709E-1,3.667E4,5.221E5,7.559E12,1.008E14,1.339E15,2.337E21,9.068E14,1.204E16,5.148E24,2.603E1,1.765E-1,1.021E-5,1.604E3,1.825E-4,7.149E-3,6.722E-1,7.108E1,1.561E2,1.692E0,1.531E3,-1.975E2,-2.013E0,5.545E0,1.179E0,2.307E-2,-4.616E-1,-3.701E-1,2.917E-1,-1.248E0,-7.094E-1,-4.571E-2,-2.815E-1,1.304E-1,-8.312E-1,1.423E-1,-3.001E-1,-3.788E-3,-1.116E-1,3.872E-2,-8.588E-2,3.909E-2,-7.171E-2,0E0,1.552E-2,6.55E1,4.05E3,2.363E5,5.347E7,NaN,NaN,-7.444E0,1.552E-1,1.026E8,1.278E9,-1.054E16,-1.311E17,-1.632E18,2.163E24,1.181E18,1.47E19,4.17E27,1.552E-1,1.031E8,1.282E9,-1.062E16,-1.321E17,-1.643E18,2.189E24,1.19E18,1.48E19,4.214E27
1.664E1,1.238E-1,4.803E-5,1.622E2,1.213E-4,4.674E-3,7.438E-2,3.293E1,6.709E1,1.454E-1,7.09E2,1.445E1,2.811E0,2.35E0,2.399E0,1.853E0,2.579E0,1.775E0,1.87E0,2.224E0,1.291E0,1.911E0,1.526E0,1.505E0,1.117E-1,3.67E-1,1.883E-1,1.356E-1,1.468E-1,1.583E-1,1.638E-1,1.616E-1,1.147E-1,0E0,1.094E-2,1.459E1,1.041E3,1.009E5,1.468E7,NaN,NaN,1.697E0,6.203E-2,1.833E4,2.583E5,3.767E12,4.998E13,6.607E14,1.161E21,4.503E14,5.952E15,2.535E24,6.203E-2,1.833E4,2.583E5,3.782E12,5.017E13,6.63E14,1.17E21,4.52E14,5.973E15,2.553E24,1.422E1,7.637E-2,3.516E-6,1.635E3,6.387E-5,2.36E-3,7.199E-1,5.202E1,1.422E2,1.567E-1,1.12E3,-2.168E2,1.362E0,3.026E0,1.418E0,1.429E0,-1.573E0,8.425E-1,5.521E-1,-1.498E0,-1.805E-1,7.551E-1,-5.039E-1,-6.336E-3,-9.187E-1,-1.151E-1,-1.731E-1,-9.271E-3,-1.187E-1,2.485E-2,-1.191E-1,-7.004E-2,-1.055E-1,0E0,4.896E-3,6.371E1,5.336E3,3.91E5,7.999E7,NaN,NaN,-8.13E0,4.898E-2,1.027E8,1.279E9,-1.056E16,-1.314E17,-1.636E18,2.169E24,1.183E18,1.473E19,4.184E27,4.898E-2,1.031E8,1.283E9,-1.064E16,-1.324E17,-1.647E18,2.195E24,1.192E18,1.483E19,4.227E27
2.02E1,1.207E-1,5.272E-5,1.947E2,1.396E-4,5.868E-3,8.587E-2,3.62E1,6.5E1,3.364E-1,7.796E2,6.411E1,5.123E0,4.545E0,3.063E0,2.717E0,2.344E0,1.938E0,1.911E0,1.812E0,1.698E0,1.512E0,1.377E0,1.323E0,1.69E-1,2.637E-1,2.088E-1,1.598E-1,1.529E-1,1.231E-1,1.294E-1,1.188E-1,1.044E-1,0E0,1.964E-2,1.681E1,1.042E3,8.602E4,1.434E7,NaN,NaN,7.074E0,1.34E-1,6.354E6,7.911E7,6.536E14,8.138E15,1.013E17,1.345E23,7.327E16,9.123E17,2.596E26,1.34E-1,6.379E6,7.938E7,6.588E14,8.198E15,1.02E17,1.361E23,7.381E16,9.186E17,2.623E26,4.167E1,2.532E-1,7.556E-6,1.512E3,7.609E-5,3.356E-3,7.086E-1,9.728E1,1.418E2,3.443E-1,2.095E3,-2.017E2,-4.766E0,-4.874E0,-1.697E0,-2.445E0,-9.364E-1,-1.028E0,9.861E-1,-8.375E-1,3.072E-2,-6.59E-1,6.378E-1,4.293E-2,-7.896E-1,4.74E-1,-4.901E-2,8.254E-2,-9.3E-2,1.293E-1,-1.912E-2,3.682E-2,-8.515E-2,0E0,1.112E-2,6.721E1,3.304E3,2.314E5,4.343E7,NaN,NaN,-8.896E0,1.112E-1,1.025E8,1.276E9,-1.054E16,-1.312E17,-1.634E18,2.168E24,1.182E18,1.471E19,4.185E27,1.112E-1,1.029E8,1.28E9,-1.062E16,-1.322E17,-1.645E18,2.194E24,1.19E18,1.481E19,4.228E27
5.136E1,3.343E-1,9.856E-5,1.639E2,2.213E-4,1.015E-2,1.022E-1,9.28E1,4.312E1,5.112E0,1.998E3,2.842E1,7.814E0,3.1E0,2.595E0,2.374E0,2.044E0,1.916E0,1.869E0,1.894E0,1.631E0,1.65E0,1.443E0,1.366E0,4.35E-1,2.542E-1,1.604E-1,1.277E-1,1.251E-1,1.03E-1,9.707E-2,9.901E-2,9.203E-2,0E0,4.701E-2,3.4E1,1.059E3,1.843E5,1.501E7,NaN,NaN,1.957E0,4.559E-1,8.047E4,1.477E6,1.659E13,2.549E14,3.795E15,5.131E21,2.294E15,3.416E16,1.462E25,4.559E-1,8.047E4,1.477E6,1.666E13,2.558E14,3.808E15,5.171E21,2.303E15,3.428E16,1.473E25,6.269E1,4.061E-1,1.837E-5,1.606E3,1.751E-4,9.841E-3,6.328E-1,1.416E2,1.878E2,4.119E0,3.048E3,-1.712E2,-1.407E0,7.781E-1,-4.244E-1,-6.763E-1,-4.046E-1,-7.27E-1,-1.061E0,-7.876E-1,-5.372E-1,7.889E-2,5.084E-2,5.793E-1,-5.429E-1,9.384E-2,-7.643E-2,4.547E-2,-3.75E-2,6.22E-2,-6.068E-2,8.814E-2,-1.542E-2,0E0,4.696E-2,8.748E1,4.67E3,1.911E5,5.774E7,NaN,NaN,-7.655E0,4.696E-1,1.031E8,1.284E9,-1.063E16,-1.324E17,-1.649E18,2.191E24,1.192E18,1.485E19,4.236E27,4.696E-1,1.035E8,1.289E9,-1.071E16,-1.334E17,-1.661E18,2.217E24,1.201E18,1.495E19,4.28E27
2.02E1,1.507E-1,4.246E-5,1.633E2,9.842E-5,4.161E-3,7.8E-2,3.66E1,3.928E1,3.591E-1,7.881E2,1.388E1,3.617E0,2.988E0,2.133E0,2.438E0,2.231E0,1.823E0,1.809E0,1.564E0,1.456E0,1.432E0,1.376E0,1.258E0,1.7E-1,2.066E-1,1.607E-1,1.282E-1,1.095E-1,1.001E-1,8.93E-2,8.653E-2,8.641E-2,0E0,1.584E-2,1.432E1,7.011E2,6.679E4,7.274E6,NaN,NaN,1.794E0,1.11E-1,5.543E4,9.493E5,1.145E13,1.695E14,2.447E15,3.55E21,1.526E15,2.203E16,9.464E24,1.11E-1,5.543E4,9.493E5,1.15E13,1.702E14,2.456E15,3.578E21,1.532E15,2.211E16,9.529E24,4.561E1,3.558E-1,6.321E-6,1.587E3,9.591E-5,4.614E-3,6.904E-1,1.163E2,1.811E2,6E-1,2.503E3,-1.733E2,-3.316E0,-6.399E-1,-3.109E-1,8.043E-1,9.797E-1,7.564E-1,-9.269E-1,-2.501E-1,-5.475E-1,1.493E0,-4.757E-1,3.839E-1,-7.311E-1,2.453E-1,-2.493E-1,9.762E-2,-2.045E-2,9.012E-3,-1.622E-1,1.008E-1,-1.961E-2,0E0,1.898E-2,7.78E1,4.173E3,2.014E5,4.662E7,NaN,NaN,-7.788E0,1.899E-1,1.033E8,1.289E9,-1.068E16,-1.332E17,-1.661E18,2.206E24,1.199E18,1.496E19,4.283E27,1.899E-1,1.037E8,1.293E9,-1.076E16,-1.342E17,-1.673E18,2.232E24,1.208E18,1.506E19,4.327E27
